# time    temp_kitchen_old_filtered_Mai_2016 (processed by pp_show_filtering.py)
2016-05-14T04:21:24Z    18.9366342747
2016-05-14T04:48:04Z    18.9961444759
2016-05-14T05:14:44Z    19.062558819
2016-05-14T05:41:25Z    19.1341272213
2016-05-14T06:08:05Z    19.2088679067
2016-05-14T06:48:05Z    19.3221626756
2016-05-14T07:14:45Z    19.3951382938
2016-05-14T07:41:25Z    19.4633733112
2016-05-14T08:08:05Z    19.5246411842
2016-05-14T08:34:45Z    19.5768875463
2016-05-14T09:01:25Z    19.6183155667
2016-05-14T09:28:05Z    19.6474641965
2016-05-14T09:54:45Z    19.6632745712
2016-05-14T10:21:26Z    19.6651401938
2016-05-14T10:48:06Z    19.6529372096
2016-05-14T11:14:46Z    19.6270320899
2016-05-14T11:41:26Z    19.5882653158
2016-05-14T12:08:06Z    19.5379111224
2016-05-14T12:34:46Z    19.4776149118
2016-05-14T13:01:26Z    19.409311428
2016-05-14T13:28:06Z    19.3351280926
2016-05-14T13:54:46Z    19.2572789097
2016-05-14T14:38:06Z    19.1285531518
2016-05-14T15:04:47Z    19.0511326849
2016-05-14T15:31:27Z    18.9771273813
2016-05-14T15:58:07Z    18.9078338967
2016-05-14T16:24:47Z    18.8441457245
2016-05-14T16:51:27Z    18.786526445
2016-05-14T17:18:07Z    18.7350076813
2016-05-14T17:44:47Z    18.6892113008
2016-05-14T18:11:27Z    18.6483940343
2016-05-14T18:38:07Z    18.6115115039
2016-05-14T19:04:47Z    18.5772976991
2016-05-14T19:54:48Z    18.5154464384
2016-05-14T20:21:28Z    18.481072887
2016-05-14T20:48:08Z    18.4440914375
2016-05-14T21:14:48Z    18.4034898835
2016-05-14T21:41:28Z    18.3585574691
2016-05-14T22:08:08Z    18.3089423418
2016-05-14T22:34:48Z    18.2546908951
2016-05-14T23:01:28Z    18.1962673371
2016-05-14T23:28:08Z    18.1345527249
2016-05-15T00:14:48Z    18.0226742291
2016-05-15T00:41:29Z    17.9595257258
2016-05-15T01:08:09Z    17.8995177835
2016-05-15T01:34:49Z    17.8449121324
2016-05-15T02:01:29Z    17.7980378451
2016-05-15T02:28:09Z    17.7611936678
2016-05-15T02:54:49Z    17.7365489757
2016-05-15T03:21:29Z    17.7260474988
2016-05-15T03:48:09Z    17.7313178441
2016-05-15T04:14:49Z    17.753594548
2016-05-15T04:41:29Z    17.7936529189
2016-05-15T05:08:10Z    17.8517603211
2016-05-15T05:34:50Z    17.9276458073
2016-05-15T06:01:30Z    18.0204891917
