# time    humidity    error    temperature    
2016-02-12T22:53:26.118144Z    55.93333    None    14.40985    
2016-02-12T22:56:54.66852608Z    56.53333    None    14.40985    
2016-02-12T23:00:26.298253056Z    56.43333    None    14.30985    
2016-02-12T23:03:57.85821312Z    56.03333    None    14.30985    
2016-02-12T23:07:31.946973952Z    56.63333    None    14.30985    
2016-02-12T23:11:09.018800128Z    56.63333    None    14.30985    
2016-02-12T23:14:40.57826304Z    56.83333    None    14.30985    
2016-02-12T23:18:12.068092928Z    56.63333    None    14.30985    
2016-02-12T23:21:43.668411904Z    56.63333    None    14.20985    
2016-02-12T23:25:12.228219904Z    56.53333    None    14.20985    
2016-02-12T23:28:45.458426112Z    56.73333    None    14.20985    
2016-02-12T23:32:16.607087104Z    57.13333    None    14.20985    
2016-02-12T23:35:45.16934912Z    56.83333    None    14.20985    
2016-02-12T23:39:16.278886912Z    57.03333    None    14.10985    
2016-02-12T23:42:47.908396032Z    56.83333    None    14.10985    
2016-02-12T23:46:24.526155008Z    56.93333    None    14.20985    
2016-02-12T23:49:58.618675968Z    57.13333    None    14.10985    
2016-02-12T23:53:30.188166912Z    56.63333    None    14.10985    
2016-02-12T23:57:01.718132992Z    57.03333    None    14.10985    
2016-02-13T00:00:34.11838592Z    56.93333    None    14.10985    
2016-02-13T00:04:02.738319104Z    56.63333    None    14.10985    
2016-02-13T00:07:34.25876096Z    57.13333    None    14.00985    
2016-02-13T00:11:05.818377984Z    57.13333    None    14.00985    
2016-02-13T00:14:42.504454912Z    56.83333    None    14.00985    
2016-02-13T00:18:17.078311936Z    56.83333    None    14.00985    
2016-02-13T00:21:48.618278912Z    57.33333    None    14.00985    
2016-02-13T00:25:20.198162944Z    57.13333    None    14.00985    
2016-02-13T00:28:48.75836288Z    57.03333    None    14.00985    
2016-02-13T00:32:20.288221952Z    57.13333    None    14.00985    
2016-02-13T00:35:51.908228096Z    57.23333    None    13.90985    
2016-02-13T00:39:23.458430976Z    56.83333    None    14.00985    
2016-02-13T00:42:51.188918016Z    56.73333    None    13.90985    
2016-02-13T00:46:25.818224128Z    57.13333    None    13.90985    
2016-02-13T00:49:54.398448128Z    56.93333    None    13.90985    
2016-02-13T00:53:25.958374912Z    56.93333    None    13.90985    
2016-02-13T00:56:57.58817792Z    57.03333    None    13.90985    
2016-02-13T01:00:29.06810112Z    57.03333    None    13.90985    
2016-02-13T01:03:57.62814592Z    57.03333    None    13.90985    
2016-02-13T01:07:28.718010112Z    57.23333    None    13.90985    
2016-02-13T01:11:00.288189952Z    57.33333    None    13.80985    
2016-02-13T01:14:31.859097088Z    57.13333    None    13.80985    
2016-02-13T01:18:03.488704Z    57.23333    None    13.80985    
2016-02-13T01:21:35.048265984Z    57.33333    None    13.80985    
2016-02-13T01:25:03.608283904Z    57.33333    None    13.80985    
2016-02-13T01:28:35.238428928Z    57.23333    None    13.80985    
2016-02-13T01:32:06.798530048Z    57.33333    None    13.80985    
2016-02-13T01:35:38.308367104Z    57.23333    None    13.80985    
2016-02-13T01:39:09.46704896Z    57.23333    None    13.80985    
2016-02-13T01:42:38.029059072Z    56.93333    None    13.70985    
2016-02-13T01:46:09.628331008Z    57.33333    None    13.80985    
2016-02-13T01:49:41.258130944Z    57.03333    None    13.70985    
2016-02-13T01:53:12.828097024Z    57.33333    None    13.80985    
2016-02-13T01:56:40.579440128Z    57.13333    None    13.70985    
2016-02-13T02:00:15.198977024Z    56.93333    None    13.70985    
2016-02-13T02:03:43.73806208Z    57.03333    None    13.70985    
2016-02-13T02:07:15.278052096Z    57.13333    None    13.70985    
2016-02-13T02:10:47.728190976Z    57.03333    None    13.70985    
2016-02-13T02:14:16.288193024Z    57.13333    None    13.70985    
